"","days","Name","Past","Pres","Fcast"
"343",2019-01-04,"NewYork",10.642,11.378,13.028
"344",2019-01-04,"NorfolkVA",12.999,14.194,16.738
"345",2019-01-04,"NorthPlatte",7.305,8.123,9.171
"346",2019-01-04,"Oklahoma",12.537,13.506,13.92
"347",2019-01-04,"Omaha",8.086,8.838,9.912
"348",2019-01-04,"Pensacola",17.894,18.724,21.252
"349",2019-01-04,"Philadelphia",10.239,11.669,13.612
"350",2019-01-04,"Phoenix",17.438,20.379,22.087
"351",2019-01-04,"Pittsburgh",8.793,9.548,11.512
"352",2019-01-04,"PortlandME",6.532,7.765,10.468
"353",2019-01-04,"Raleigh",12.96,14.12,16.018
"354",2019-01-04,"RochesterNY",7.683,8.492,10.51
"355",2019-01-04,"Roswell",12.737,14.275,17.548
"356",2019-01-04,"Sacramento",15.351,16.65,18.7
"357",2019-01-04,"SaltLakeCity",8.671,9.92,13.204
"358",2019-01-04,"SanAntonio",17.755,18.672,20.744
"359",2019-01-04,"SaultSteMarie",4.391,5.676,8.94
"360",2019-01-04,"Savannah",16.501,17.666,20.867
"361",2019-01-04,"Seattle",11.109,12.142,14.578
"362",2019-01-04,"Shreveport",15.993,16.649,18.456
"363",2019-01-04,"SiouxFalls",5.476,6.607,8.469
"364",2019-01-04,"Spokane",7.662,8.356,10.24
"365",2019-01-04,"Springfield",9.094,9.951,11.667
"366",2019-01-04,"SpringfieldMO",10.894,11.645,13.456
"367",2019-01-04,"Tampa",20.855,22.413,25.482
"368",2019-01-04,"Topeka",9.566,10.821,12.385
"369",2019-01-04,"Valentine",6.618,7.814,10.194
"370",2019-01-04,"WashingtonDC",11.725,12.86,15.888
"371",2019-01-04,"Williston",3.976,4.602,5.758
"372",2019-01-04,"Winnemucca",8.142,8.75,11.108
"373",2019-01-05,"Abilene",15.128,15.666,17.329
"374",2019-01-05,"Albany",7.054,8.266,10.379
"375",2019-01-05,"Albuquerque",11.506,12.62,14.739
"376",2019-01-05,"Amarillo",11.855,12.608,13.637
"377",2019-01-05,"Atlanta",14.092,15.426,18.113
"378",2019-01-05,"Augusta",14.977,15.819,18.639
"379",2019-01-05,"Baltimore",10.556,11.354,13.399
"380",2019-01-05,"Bismarck",3.81,5.255,6.79
"381",2019-01-05,"Boise",8.968,10.09,12.416
"382",2019-01-05,"Boston",9.258,9.903,12.041
"383",2019-01-05,"CedarRapids",6.95,7.277,8.414
"384",2019-01-05,"Charlotte",13.536,14.08,16.773
"385",2019-01-05,"Chattanooga",12.911,14.346,16.982
"386",2019-01-05,"Cheyenne",7.266,7.878,9.861
"387",2019-01-05,"Chicago",8.573,8.525,10.497
